ID,utility_payment_regularity,avg_monthly_utility_spend,mobile_recharge_pattern,household_deprivation_score,housing_type,asset_ownership_count,household_size_to_earners_ratio,primary_income_source
375,Irregular,1119,Monthly,33.7,Kutcha,7,1.4,Daily Wage
376,Regular,1262,Bi-weekly,7.2,Pucca,10,2.0,Salaried
377,Irregular,1150,Ad-hoc,37.8,Kutcha,5,1.5,Daily Wage
378,Irregular,1106,Ad-hoc,31.9,Semi-pucca,7,1.3,Daily Wage
379,Regular,1375,Weekly,19.7,Pucca,9,1.5,Salaried
380,Regular,906,Weekly,28.7,Semi-pucca,6,1.8,Business
381,Regular,639,Monthly,60.1,Pucca,5,3.0,Daily Wage
382,Regular,1306,Weekly,9.7,Semi-pucca,9,1.5,Business
383,Regular,1261,Bi-weekly,27.5,Pucca,9,1.7,Salaried
384,Regular,908,Ad-hoc,50.5,Semi-pucca,4,1.5,Business
385,Regular,1091,Bi-weekly,16.0,Pucca,7,1.2,Business
386,Regular,1412,Weekly,21.4,Semi-pucca,7,1.7,Pension
387,Defaulted,849,Ad-hoc,46.3,Pucca,5,2.0,Daily Wage
388,Regular,965,Weekly,27.8,Pucca,7,1.5,Salaried
389,Regular,1087,Weekly,18.5,Pucca,8,1.5,Business
390,Defaulted,1087,Bi-weekly,11.5,Pucca,9,1.0,Business
391,Regular,620,Bi-weekly,42.3,Pucca,6,2.0,Business
392,Irregular,675,Bi-weekly,64.4,Semi-pucca,3,4.0,Agriculture
393,Irregular,843,Bi-weekly,30.8,Pucca,5,1.7,Daily Wage
394,Irregular,992,Ad-hoc,41.1,Pucca,6,1.7,Agriculture
395,Irregular,1322,Monthly,19.6,Pucca,8,1.2,Salaried
396,Regular,1299,Bi-weekly,13.9,Pucca,10,1.5,Salaried
397,Regular,1297,Bi-weekly,9.9,Pucca,8,1.3,Salaried
398,Defaulted,780,Monthly,36.7,Kutcha,4,1.0,Business
399,Irregular,960,Bi-weekly,50.7,Pucca,6,1.3,Agriculture
400,Regular,1412,Weekly,23.6,Semi-pucca,8,1.0,Salaried
401,Irregular,1150,Ad-hoc,40.6,Semi-pucca,5,1.5,Daily Wage
402,Regular,922,Weekly,26.5,Pucca,6,1.5,Salaried
403,Regular,970,Ad-hoc,38.1,Semi-pucca,8,2.0,Agriculture
404,Regular,1112,Weekly,22.5,Semi-pucca,9,1.4,Salaried
405,Irregular,1294,Bi-weekly,4.5,Pucca,7,1.2,Salaried
406,Regular,1222,Monthly,16.4,Pucca,8,1.5,Business
407,Regular,1492,Weekly,19.1,Pucca,10,2.0,Pension
408,Regular,1127,Bi-weekly,26.2,Pucca,7,1.4,Salaried
409,Regular,945,Monthly,35.6,Kutcha,6,1.3,Agriculture
410,Regular,1352,Weekly,8.1,Pucca,9,1.3,Salaried
411,Irregular,1096,Weekly,10.8,Pucca,8,1.0,Business
412,Regular,1029,Bi-weekly,24.6,Pucca,5,1.3,Salaried
413,Regular,938,Monthly,54.5,Pucca,6,2.5,Agriculture
414,Irregular,1057,Monthly,33.6,Pucca,4,1.5,Daily Wage
415,Regular,1571,Monthly,11.2,Pucca,9,1.2,Pension
416,Regular,1350,Weekly,7.9,Semi-pucca,10,1.4,Salaried
417,Regular,980,Weekly,22.3,Pucca,6,2.0,Salaried
418,Regular,914,Monthly,23.9,Semi-pucca,6,1.5,Pension
419,Irregular,1024,Monthly,46.9,Semi-pucca,7,1.7,Daily Wage
420,Regular,1133,Weekly,10.9,Pucca,10,1.2,Business
421,Defaulted,855,Ad-hoc,35.1,Pucca,6,1.5,Daily Wage
422,Irregular,1201,Weekly,11.5,Pucca,10,1.4,Pension
423,Defaulted,966,Monthly,52.1,Pucca,6,2.5,Daily Wage
424,Regular,839,Monthly,46.3,Pucca,6,2.0,Daily Wage
425,Defaulted,791,Ad-hoc,44.6,Semi-pucca,4,3.0,Daily Wage
426,Irregular,1073,Bi-weekly,45.1,Semi-pucca,5,1.8,Daily Wage
427,Regular,1317,Weekly,20.8,Pucca,8,1.0,Salaried
428,Irregular,1024,Monthly,55.3,Pucca,4,2.0,Agriculture
429,Regular,1323,Weekly,24.1,Pucca,9,2.0,Business
430,Irregular,1160,Ad-hoc,35.2,Semi-pucca,5,1.4,Agriculture
431,Irregular,676,Monthly,56.2,Pucca,3,1.5,Daily Wage
432,Regular,1419,Bi-weekly,6.6,Pucca,10,1.2,Salaried
433,Regular,1044,Ad-hoc,47.8,Kutcha,5,2.5,Daily Wage
434,Irregular,1261,Monthly,36.2,Kutcha,6,1.3,Agriculture
435,Regular,982,Monthly,40.2,Pucca,4,1.5,Daily Wage
436,Irregular,1171,Weekly,14.5,Pucca,9,1.0,Salaried
437,Regular,1112,Weekly,14.9,Pucca,8,1.4,Salaried
438,Regular,1243,Bi-weekly,26.7,Semi-pucca,8,2.0,Salaried
439,Regular,1013,Bi-weekly,26.7,Pucca,7,1.7,Salaried
440,Regular,1193,Weekly,20.2,Pucca,8,1.2,Salaried
441,Irregular,705,Ad-hoc,51.9,Semi-pucca,6,1.8,Daily Wage
442,Regular,1363,Monthly,1.3,Pucca,8,2.0,Salaried
443,Regular,1208,Weekly,23.0,Pucca,8,1.0,Pension
444,Regular,1339,Bi-weekly,8.9,Pucca,7,1.2,Salaried
445,Regular,905,Ad-hoc,54.4,Semi-pucca,4,1.5,Daily Wage
446,Irregular,835,Bi-weekly,33.8,Pucca,5,1.5,Daily Wage
447,Irregular,1140,Bi-weekly,22.1,Pucca,9,1.5,Salaried
448,Regular,1199,Monthly,12.2,Pucca,9,1.3,Salaried
449,Regular,902,Bi-weekly,32.7,Pucca,7,1.4,Daily Wage
450,Defaulted,1185,Bi-weekly,10.0,Semi-pucca,8,1.7,Business
451,Regular,903,Monthly,33.8,Pucca,6,2.0,Daily Wage
452,Irregular,807,Bi-weekly,58.3,Pucca,3,2.0,Agriculture
453,Irregular,852,Monthly,54.9,Semi-pucca,5,1.8,Daily Wage
454,Regular,1363,Weekly,14.4,Semi-pucca,7,1.0,Salaried
455,Regular,852,Ad-hoc,54.0,Kutcha,6,2.0,Agriculture
456,Regular,1368,Weekly,4.9,Pucca,7,1.5,Salaried
457,Irregular,1161,Bi-weekly,22.7,Pucca,7,1.7,Salaried
458,Irregular,1328,Bi-weekly,15.1,Semi-pucca,10,1.3,Salaried
459,Regular,1061,Bi-weekly,4.0,Pucca,9,2.0,Business
460,Regular,929,Bi-weekly,42.0,Pucca,4,1.5,Agriculture
461,Defaulted,927,Monthly,47.0,Kutcha,6,2.0,Agriculture
462,Irregular,1145,Bi-weekly,45.9,Pucca,5,1.3,Agriculture
463,Regular,922,Bi-weekly,29.3,Kutcha,6,1.5,Business
464,Irregular,881,Bi-weekly,32.5,Semi-pucca,5,1.6,Daily Wage
465,Irregular,412,Ad-hoc,60.8,Semi-pucca,7,2.0,Agriculture
466,Regular,954,Weekly,22.8,Semi-pucca,7,1.5,Business
467,Irregular,1017,Ad-hoc,32.9,Semi-pucca,4,1.8,Daily Wage
468,Regular,1090,Bi-weekly,18.9,Pucca,10,1.5,Salaried
469,Defaulted,772,Monthly,47.6,Semi-pucca,6,2.0,Daily Wage
470,Regular,895,Ad-hoc,46.2,Pucca,4,1.7,Daily Wage
471,Irregular,1112,Monthly,33.6,Pucca,6,1.4,Daily Wage
472,Regular,1081,Bi-weekly,29.1,Semi-pucca,8,1.7,Salaried
473,Irregular,1072,Ad-hoc,30.1,Pucca,7,1.7,Agriculture
474,Regular,1096,Ad-hoc,32.7,Pucca,4,1.2,Agriculture
475,Regular,1069,Monthly,6.8,Pucca,10,1.0,Salaried
476,Irregular,1051,Ad-hoc,33.3,Kutcha,6,1.0,Daily Wage
477,Regular,763,Ad-hoc,56.9,Pucca,6,1.7,Daily Wage
478,Regular,1213,Weekly,16.9,Pucca,10,1.4,Salaried
479,Defaulted,962,Ad-hoc,32.3,Pucca,6,1.4,Daily Wage
480,Regular,1085,Weekly,26.0,Pucca,9,1.3,Business
481,Regular,1224,Bi-weekly,21.1,Pucca,7,1.5,Business
482,Regular,1135,Ad-hoc,44.5,Semi-pucca,3,1.8,Daily Wage
483,Regular,951,Bi-weekly,19.3,Pucca,8,1.5,Business
484,Irregular,1016,Ad-hoc,42.2,Pucca,6,1.7,Agriculture
485,Irregular,1224,Ad-hoc,31.5,Semi-pucca,6,1.5,Agriculture
486,Regular,1124,Weekly,8.9,Pucca,9,1.5,Salaried
487,Regular,1175,Weekly,18.1,Pucca,10,1.3,Business
488,Regular,1120,Bi-weekly,28.9,Pucca,7,1.5,Salaried
489,Regular,1470,Weekly,19.1,Pucca,7,2.0,Salaried
490,Regular,1424,Bi-weekly,25.5,Pucca,8,1.7,Salaried
491,Regular,933,Weekly,26.3,Pucca,8,1.2,Salaried
492,Regular,1152,Weekly,18.7,Pucca,5,1.5,Business
493,Regular,1292,Bi-weekly,12.4,Pucca,9,1.5,Salaried
494,Irregular,1082,Ad-hoc,35.9,Semi-pucca,7,1.5,Daily Wage
495,Regular,1420,Weekly,0.7,Semi-pucca,10,1.0,Business
496,Regular,1019,Weekly,22.5,Pucca,9,1.2,Salaried
497,Irregular,855,Bi-weekly,36.8,Semi-pucca,6,1.5,Daily Wage
498,Irregular,667,Bi-weekly,47.0,Pucca,6,1.8,Daily Wage
499,Irregular,860,Weekly,23.3,Pucca,6,1.7,Business
500,Irregular,516,Ad-hoc,60.5,Pucca,4,2.0,Daily Wage
501,Regular,1439,Monthly,11.2,Pucca,10,1.5,Salaried
502,Regular,1178,Weekly,29.2,Pucca,6,1.5,Salaried
503,Regular,1209,Weekly,24.4,Pucca,7,1.7,Salaried
504,Irregular,1268,Bi-weekly,9.1,Pucca,8,1.3,Salaried
505,Regular,1017,Ad-hoc,34.2,Kutcha,7,1.6,Agriculture
506,Regular,1074,Weekly,26.1,Pucca,6,1.7,Salaried
507,Regular,1061,Weekly,10.5,Pucca,9,1.3,Business
508,Regular,1117,Bi-weekly,33.9,Kutcha,8,1.5,Agriculture
509,Regular,1445,Weekly,6.7,Pucca,10,1.5,Salaried
510,Regular,804,Ad-hoc,39.5,Pucca,4,1.0,Daily Wage
511,Regular,1051,Monthly,17.0,Pucca,9,1.3,Salaried
512,Defaulted,688,Ad-hoc,69.1,Pucca,4,1.7,Business
513,Irregular,1260,Monthly,17.0,Pucca,9,1.4,Salaried
514,Regular,1216,Weekly,26.0,Semi-pucca,8,1.0,Salaried
515,Irregular,1222,Ad-hoc,34.1,Pucca,7,2.0,Daily Wage
516,Irregular,1038,Weekly,19.4,Pucca,9,1.5,Salaried
517,Regular,902,Bi-weekly,44.2,Semi-pucca,8,2.0,Daily Wage
518,Regular,938,Bi-weekly,29.2,Semi-pucca,6,2.0,Business
519,Irregular,1222,Weekly,4.3,Pucca,10,1.2,Salaried
520,Regular,1246,Weekly,8.5,Pucca,9,1.3,Salaried
521,Defaulted,1080,Ad-hoc,47.4,Pucca,5,1.6,Agriculture
522,Regular,1253,Weekly,27.4,Pucca,5,1.5,Business
523,Regular,1128,Bi-weekly,23.7,Pucca,7,1.2,Business
524,Regular,804,Weekly,26.7,Pucca,6,3.0,Salaried
525,Regular,1341,Bi-weekly,10.3,Semi-pucca,8,1.2,Salaried
526,Regular,1201,Weekly,22.8,Pucca,6,1.2,Business
527,Regular,980,Bi-weekly,26.3,Pucca,7,1.3,Business
528,Irregular,758,Bi-weekly,68.9,Semi-pucca,3,1.7,Daily Wage
529,Regular,990,Bi-weekly,25.1,Pucca,8,1.7,Business
530,Regular,1246,Bi-weekly,24.5,Pucca,6,1.5,Salaried
531,Regular,1129,Weekly,27.7,Pucca,5,1.5,Salaried
532,Regular,896,Weekly,27.2,Semi-pucca,8,1.6,Business
533,Regular,1096,Weekly,23.0,Pucca,7,1.5,Business
534,Irregular,951,Ad-hoc,42.6,Semi-pucca,7,1.7,Agriculture
535,Regular,1197,Bi-weekly,22.3,Pucca,8,1.4,Salaried
536,Regular,1019,Monthly,47.7,Pucca,6,1.7,Business
537,Irregular,1307,Bi-weekly,23.1,Pucca,9,1.2,Salaried
538,Irregular,892,Ad-hoc,43.1,Kutcha,5,1.5,Daily Wage
539,Regular,1052,Bi-weekly,38.7,Kutcha,5,1.5,Daily Wage
540,Regular,1395,Weekly,20.9,Pucca,9,1.2,Salaried
541,Regular,1158,Bi-weekly,9.0,Pucca,10,1.3,Salaried
542,Regular,650,Ad-hoc,60.4,Kutcha,4,2.5,Agriculture
543,Regular,919,Weekly,22.7,Pucca,9,1.4,Salaried
544,Regular,976,Monthly,30.4,Pucca,7,1.4,Daily Wage
545,Irregular,1247,Weekly,16.5,Pucca,8,1.4,Business
546,Irregular,903,Bi-weekly,18.2,Semi-pucca,8,1.8,Pension
547,Irregular,936,Ad-hoc,47.7,Semi-pucca,4,1.8,Daily Wage
548,Regular,754,Bi-weekly,52.6,Kutcha,5,2.0,Daily Wage
549,Regular,994,Monthly,36.1,Semi-pucca,8,1.7,Daily Wage
550,Regular,960,Weekly,25.1,Pucca,8,1.5,Salaried
551,Irregular,963,Ad-hoc,38.4,Semi-pucca,6,1.7,Daily Wage
552,Regular,1419,Weekly,19.6,Semi-pucca,8,2.0,Salaried
553,Regular,1016,Bi-weekly,29.8,Pucca,7,1.0,Salaried
554,Regular,944,Bi-weekly,13.2,Pucca,10,1.2,Salaried
555,Irregular,1430,Bi-weekly,12.6,Pucca,9,1.2,Salaried
556,Defaulted,1085,Ad-hoc,35.5,Semi-pucca,6,1.8,Daily Wage
557,Irregular,1058,Monthly,32.2,Pucca,7,1.5,Agriculture
558,Irregular,1137,Ad-hoc,31.1,Pucca,7,1.2,Daily Wage
559,Regular,1162,Bi-weekly,22.7,Pucca,7,1.5,Business
560,Regular,1287,Ad-hoc,31.2,Semi-pucca,7,1.4,Business
561,Irregular,1315,Weekly,17.2,Pucca,6,1.2,Business
562,Regular,1290,Weekly,4.1,Pucca,10,1.2,Salaried
563,Regular,1305,Bi-weekly,27.6,Pucca,8,1.6,Salaried
564,Regular,1551,Monthly,9.4,Pucca,10,1.4,Salaried
565,Defaulted,1074,Ad-hoc,41.2,Pucca,5,2.0,Daily Wage
566,Regular,889,Ad-hoc,51.6,Pucca,5,1.5,Daily Wage
567,Regular,582,Ad-hoc,63.4,Pucca,5,3.5,Daily Wage
568,Irregular,1197,Weekly,27.2,Semi-pucca,9,1.5,Salaried
569,Regular,1277,Bi-weekly,16.1,Semi-pucca,8,1.3,Business
570,Irregular,1064,Ad-hoc,30.2,Pucca,7,1.7,Agriculture
571,Regular,1225,Bi-weekly,24.7,Semi-pucca,9,1.5,Salaried
572,Irregular,1107,Monthly,27.7,Semi-pucca,5,1.8,Business
573,Irregular,957,Monthly,47.2,Pucca,5,1.0,Daily Wage
574,Regular,1304,Weekly,21.9,Kutcha,9,1.5,Pension
575,Regular,937,Monthly,25.1,Semi-pucca,9,1.4,Salaried
576,Regular,1108,Weekly,13.4,Pucca,9,1.7,Business
577,Regular,988,Bi-weekly,25.8,Pucca,6,2.0,Salaried
578,Regular,1038,Ad-hoc,57.6,Pucca,4,2.0,Daily Wage
579,Regular,1296,Weekly,17.5,Pucca,8,1.2,Business
580,Regular,1017,Ad-hoc,44.0,Semi-pucca,6,1.7,Business
581,Irregular,1294,Weekly,24.0,Pucca,7,1.4,Salaried
582,Regular,763,Ad-hoc,44.6,Semi-pucca,4,1.8,Business
583,Irregular,654,Bi-weekly,41.8,Semi-pucca,3,2.0,Agriculture
584,Regular,1253,Bi-weekly,12.5,Pucca,10,1.6,Salaried
585,Irregular,1070,Ad-hoc,41.4,Semi-pucca,5,1.7,Daily Wage
586,Regular,1278,Bi-weekly,8.6,Pucca,9,1.8,Business
587,Regular,1095,Bi-weekly,10.2,Pucca,9,1.7,Salaried
588,Regular,1021,Monthly,22.9,Pucca,6,1.0,Business
589,Defaulted,633,Ad-hoc,54.7,Pucca,3,3.0,Daily Wage
590,Irregular,928,Ad-hoc,35.1,Pucca,5,1.3,Agriculture
591,Regular,1084,Weekly,13.9,Semi-pucca,8,1.2,Business
592,Regular,1361,Bi-weekly,5.4,Pucca,10,2.0,Salaried
593,Irregular,904,Monthly,38.1,Pucca,5,1.6,Daily Wage
594,Regular,1181,Monthly,27.9,Pucca,9,1.7,Salaried
595,Irregular,925,Bi-weekly,30.7,Semi-pucca,8,1.5,Daily Wage
596,Defaulted,1058,Monthly,34.3,Pucca,8,1.3,Daily Wage
597,Irregular,871,Monthly,47.6,Pucca,5,2.0,Agriculture
598,Regular,1174,Weekly,25.5,Semi-pucca,9,2.0,Salaried
599,Defaulted,923,Ad-hoc,50.1,Pucca,5,2.0,Agriculture
600,Regular,1320,Weekly,15.4,Pucca,8,1.4,Salaried
601,Regular,1446,Monthly,6.3,Pucca,10,1.0,Salaried
602,Irregular,982,Monthly,44.8,Semi-pucca,6,2.3,Daily Wage
603,Defaulted,1320,Monthly,11.0,Pucca,10,1.5,Business
604,Regular,976,Bi-weekly,30.0,Pucca,6,1.8,Salaried
605,Irregular,929,Monthly,53.6,Pucca,4,1.8,Daily Wage
606,Regular,1228,Weekly,6.7,Kutcha,10,1.5,Salaried
607,Regular,988,Monthly,33.7,Pucca,7,1.7,Daily Wage
608,Regular,1211,Weekly,6.2,Pucca,9,1.2,Business
609,Regular,982,Weekly,26.7,Semi-pucca,5,2.0,Salaried
610,Regular,1339,Weekly,1.5,Pucca,10,1.2,Business
611,Regular,1265,Weekly,9.3,Kutcha,10,1.2,Salaried
612,Regular,1107,Bi-weekly,16.2,Semi-pucca,10,1.4,Business
613,Regular,1341,Weekly,5.6,Semi-pucca,8,1.4,Business
614,Irregular,1022,Ad-hoc,36.3,Pucca,6,1.5,Agriculture
615,Irregular,964,Ad-hoc,32.6,Pucca,6,1.7,Daily Wage
616,Regular,1113,Monthly,55.2,Semi-pucca,6,2.0,Agriculture
617,Regular,1325,Bi-weekly,11.0,Kutcha,9,1.5,Salaried
618,Regular,1177,Weekly,21.7,Pucca,7,1.3,Salaried
619,Irregular,1219,Weekly,7.8,Semi-pucca,10,2.0,Business
620,Regular,1224,Bi-weekly,17.7,Pucca,8,1.2,Business
621,Regular,778,Monthly,59.5,Pucca,3,1.7,Daily Wage
622,Defaulted,962,Bi-weekly,39.7,Semi-pucca,5,2.0,Agriculture
623,Regular,1482,Weekly,10.6,Semi-pucca,10,1.5,Salaried
624,Regular,1127,Bi-weekly,3.1,Pucca,10,1.2,Business
625,Regular,1315,Bi-weekly,2.8,Pucca,10,2.0,Salaried
626,Irregular,1095,Ad-hoc,36.8,Kutcha,6,1.5,Daily Wage
627,Regular,1099,Monthly,15.9,Pucca,9,1.5,Salaried
628,Defaulted,371,Ad-hoc,73.8,Kutcha,3,2.0,Agriculture
629,Irregular,1059,Weekly,24.4,Pucca,8,1.4,Salaried
630,Irregular,1358,Weekly,17.1,Pucca,8,1.0,Business
631,Regular,1188,Bi-weekly,8.1,Pucca,10,1.2,Salaried
632,Defaulted,857,Ad-hoc,44.8,Kutcha,6,1.5,Agriculture
633,Regular,1241,Weekly,19.7,Pucca,7,1.3,Salaried
634,Regular,1031,Weekly,26.1,Semi-pucca,7,1.4,Salaried
635,Regular,1031,Weekly,27.9,Pucca,5,1.5,Salaried
636,Regular,1034,Monthly,24.9,Pucca,10,2.0,Salaried
637,Regular,892,Ad-hoc,38.9,Semi-pucca,7,1.5,Daily Wage
638,Regular,1138,Weekly,9.0,Pucca,8,1.3,Salaried
639,Regular,1100,Weekly,23.9,Pucca,7,1.7,Business
640,Regular,1328,Weekly,20.0,Pucca,7,1.3,Business
641,Defaulted,1180,Ad-hoc,40.1,Pucca,8,2.0,Agriculture
642,Irregular,1060,Ad-hoc,46.7,Pucca,4,2.5,Agriculture
643,Regular,1278,Weekly,12.8,Pucca,9,1.3,Business
644,Defaulted,1188,Monthly,40.4,Semi-pucca,6,1.7,Agriculture
645,Regular,1623,Weekly,8.9,Semi-pucca,10,1.0,Salaried
646,Regular,1152,Bi-weekly,24.8,Pucca,7,1.7,Salaried
647,Regular,970,Bi-weekly,26.4,Pucca,5,1.2,Salaried
648,Defaulted,1083,Ad-hoc,45.5,Kutcha,5,2.0,Daily Wage
649,Irregular,803,Ad-hoc,39.0,Semi-pucca,5,1.6,Business
650,Regular,1168,Weekly,9.7,Pucca,9,1.2,Business
651,Irregular,687,Ad-hoc,38.3,Pucca,8,1.4,Daily Wage
652,Regular,1174,Weekly,29.8,Pucca,5,1.5,Salaried
653,Irregular,426,Monthly,59.0,Semi-pucca,3,2.0,Agriculture
654,Regular,1345,Bi-weekly,17.6,Semi-pucca,8,1.7,Salaried
655,Regular,1417,Monthly,21.4,Semi-pucca,7,1.3,Salaried
656,Irregular,959,Ad-hoc,62.0,Semi-pucca,5,1.7,Agriculture
657,Irregular,686,Ad-hoc,48.7,Kutcha,5,1.7,Agriculture
658,Regular,1033,Bi-weekly,9.6,Pucca,10,1.0,Salaried
659,Regular,1035,Weekly,25.0,Pucca,7,1.3,Salaried
660,Regular,1147,Ad-hoc,34.1,Kutcha,7,1.8,Business
661,Regular,1127,Ad-hoc,40.1,Pucca,7,1.6,Daily Wage
662,Regular,1363,Bi-weekly,11.8,Semi-pucca,8,1.3,Pension
663,Regular,860,Ad-hoc,55.7,Kutcha,5,1.5,Daily Wage
664,Regular,1661,Bi-weekly,6.3,Pucca,9,1.8,Salaried
665,Regular,1197,Bi-weekly,12.3,Pucca,10,1.2,Salaried
666,Defaulted,707,Monthly,53.0,Semi-pucca,4,1.7,Agriculture
667,Regular,935,Bi-weekly,27.1,Pucca,8,1.4,Salaried
668,Regular,1155,Bi-weekly,27.7,Pucca,7,1.3,Business
669,Irregular,1043,Monthly,30.1,Pucca,7,1.2,Business
670,Irregular,1361,Bi-weekly,14.0,Semi-pucca,9,1.3,Salaried
671,Irregular,1255,Weekly,7.4,Pucca,10,1.6,Salaried
672,Regular,1125,Bi-weekly,32.9,Pucca,5,1.2,Daily Wage
673,Regular,950,Ad-hoc,36.0,Semi-pucca,8,1.5,Agriculture
674,Regular,1036,Ad-hoc,31.0,Semi-pucca,5,1.5,Daily Wage
675,Regular,1192,Weekly,18.0,Pucca,7,1.5,Salaried
676,Regular,1040,Bi-weekly,11.0,Pucca,9,1.5,Salaried
677,Regular,1130,Bi-weekly,22.7,Semi-pucca,8,1.5,Salaried
678,Defaulted,775,Ad-hoc,63.9,Semi-pucca,6,1.8,Daily Wage
679,Regular,994,Bi-weekly,24.3,Pucca,5,1.4,Salaried
680,Defaulted,1429,Monthly,21.6,Semi-pucca,7,1.5,Salaried
681,Regular,1127,Bi-weekly,24.9,Pucca,5,2.0,Pension
682,Regular,1051,Bi-weekly,23.7,Kutcha,8,1.3,Salaried
683,Regular,722,Bi-weekly,53.2,Pucca,5,2.3,Daily Wage
684,Regular,1162,Monthly,39.0,Pucca,8,1.0,Daily Wage
685,Regular,1097,Weekly,17.0,Semi-pucca,8,1.5,Pension
686,Regular,1217,Bi-weekly,20.4,Pucca,9,1.4,Business
687,Regular,1243,Weekly,25.5,Semi-pucca,8,1.6,Business
688,Regular,1159,Weekly,28.9,Semi-pucca,7,1.5,Business
689,Regular,1166,Monthly,14.1,Semi-pucca,7,1.0,Salaried
690,Regular,1310,Bi-weekly,18.8,Kutcha,8,1.4,Salaried
691,Defaulted,800,Ad-hoc,56.5,Pucca,3,2.5,Business
692,Irregular,560,Bi-weekly,54.4,Semi-pucca,6,1.7,Daily Wage
693,Irregular,1343,Weekly,20.7,Pucca,8,1.5,Pension
694,Regular,1100,Weekly,19.4,Pucca,9,1.5,Business
695,Irregular,944,Bi-weekly,39.2,Kutcha,6,1.8,Daily Wage
696,Regular,1382,Weekly,5.5,Pucca,10,1.3,Business
697,Regular,761,Monthly,51.3,Semi-pucca,5,1.8,Daily Wage
698,Regular,1321,Weekly,16.8,Pucca,8,1.3,Salaried
699,Irregular,860,Ad-hoc,35.0,Semi-pucca,6,2.0,Business
700,Regular,1248,Weekly,6.5,Kutcha,10,1.2,Business
701,Regular,1132,Bi-weekly,39.9,Pucca,5,1.8,Daily Wage
702,Regular,1007,Ad-hoc,36.0,Semi-pucca,5,1.0,Daily Wage
703,Irregular,881,Ad-hoc,33.7,Kutcha,8,1.7,Agriculture
704,Regular,1272,Bi-weekly,12.6,Pucca,10,1.5,Salaried
705,Regular,1250,Bi-weekly,18.7,Pucca,8,1.2,Business
706,Defaulted,837,Ad-hoc,30.9,Pucca,9,1.7,Daily Wage
707,Regular,1454,Monthly,16.1,Pucca,8,1.2,Salaried
708,Regular,1478,Bi-weekly,15.6,Pucca,10,1.5,Salaried
709,Defaulted,878,Monthly,48.9,Kutcha,5,2.0,Daily Wage
710,Regular,1327,Weekly,4.1,Pucca,8,1.0,Business
711,Irregular,851,Ad-hoc,50.1,Kutcha,7,2.0,Daily Wage
712,Regular,1386,Bi-weekly,12.5,Semi-pucca,10,1.5,Salaried
713,Irregular,1047,Ad-hoc,37.8,Semi-pucca,6,1.5,Daily Wage
714,Irregular,1079,Ad-hoc,32.2,Pucca,8,2.0,Agriculture
715,Regular,1460,Monthly,12.1,Pucca,8,1.3,Salaried
716,Regular,1377,Monthly,16.5,Pucca,9,1.5,Business
717,Regular,802,Ad-hoc,42.1,Kutcha,3,1.8,Agriculture
718,Regular,1278,Weekly,22.3,Pucca,7,1.5,Salaried
719,Defaulted,738,Ad-hoc,74.8,Semi-pucca,4,2.5,Daily Wage
720,Irregular,1244,Bi-weekly,17.7,Pucca,8,1.3,Salaried
721,Regular,1297,Bi-weekly,16.9,Pucca,9,1.5,Business
722,Regular,1245,Weekly,10.1,Pucca,7,1.3,Salaried
723,Regular,1060,Bi-weekly,15.5,Pucca,10,1.3,Business
724,Regular,1387,Bi-weekly,25.2,Pucca,9,1.5,Salaried
725,Regular,443,Bi-weekly,69.9,Pucca,3,2.0,Agriculture
726,Regular,1456,Bi-weekly,16.3,Pucca,8,1.2,Salaried
727,Regular,1351,Monthly,3.6,Semi-pucca,10,1.2,Salaried
728,Regular,1369,Bi-weekly,18.7,Pucca,10,2.0,Business
729,Regular,1094,Bi-weekly,28.0,Pucca,8,1.0,Salaried
730,Regular,976,Bi-weekly,50.4,Semi-pucca,8,1.7,Agriculture
731,Regular,1143,Bi-weekly,29.1,Pucca,6,1.6,Salaried
732,Regular,1071,Monthly,21.4,Semi-pucca,7,1.5,Salaried
733,Regular,1227,Bi-weekly,17.4,Pucca,7,1.3,Business
734,Irregular,940,Monthly,39.9,Semi-pucca,7,2.0,Daily Wage
735,Irregular,1197,Bi-weekly,26.6,Semi-pucca,8,1.4,Salaried
736,Regular,977,Ad-hoc,40.2,Kutcha,6,1.7,Daily Wage
737,Regular,1324,Weekly,10.5,Pucca,10,1.2,Salaried
738,Regular,1047,Weekly,19.0,Pucca,10,2.0,Salaried
739,Defaulted,830,Bi-weekly,35.5,Semi-pucca,5,1.7,Daily Wage
740,Regular,1323,Bi-weekly,7.9,Pucca,8,1.4,Salaried
741,Regular,1289,Bi-weekly,12.4,Semi-pucca,10,1.5,Business
742,Regular,987,Monthly,24.1,Semi-pucca,7,1.7,Salaried
743,Defaulted,964,Monthly,46.9,Semi-pucca,4,3.0,Business
744,Irregular,882,Ad-hoc,54.9,Pucca,6,2.5,Agriculture
745,Regular,1276,Monthly,13.2,Semi-pucca,7,1.5,Pension
746,Regular,1073,Weekly,29.9,Pucca,7,1.7,Salaried
747,Irregular,656,Ad-hoc,51.5,Kutcha,5,2.3,Daily Wage
748,Irregular,779,Ad-hoc,40.1,Pucca,5,1.0,Agriculture
749,Regular,1142,Weekly,28.4,Pucca,8,1.7,Salaried
750,Irregular,934,Bi-weekly,31.8,Pucca,6,1.8,Daily Wage
751,Regular,1141,Bi-weekly,13.8,Pucca,10,2.0,Business
752,Regular,1217,Weekly,20.1,Pucca,8,1.2,Salaried
