age,loan_amount,loan_tenure_months,number_of_loans,on_time_repayments_percentage,missed_payments_total,avg_monthly_electricity_units,avg_monthly_mobile_recharge,business_activity,loan_default_status
58,104423,12,2,98.0,0,346,434,Artisan,0
60,94951,24,3,73.59,4,298,556,Tailoring,0
36,93969,24,1,92.79,1,362,600,Food Stall,0
53,62446,60,7,84.9,8,266,771,Farming,0
49,173859,12,5,96.89,0,69,401,Handicrafts,0
52,109726,36,1,91.78,3,108,497,Handicrafts,0
54,102511,36,8,85.82,5,335,762,Food Stall,0
48,159638,48,6,99.95,1,91,298,Retail Shop,0
36,73528,36,6,91.18,2,319,526,Tailoring,0
42,138195,24,1,98.69,1,55,213,Handicrafts,0
64,146854,24,6,92.99,3,84,604,Tailoring,0
27,30777,36,2,92.37,1,340,583,Artisan,0
38,183928,24,3,94.35,7,51,620,Retail Shop,0
22,76803,48,6,94.27,1,101,611,Retail Shop,0
42,38714,60,3,68.73,9,190,461,Retail Shop,0
39,160578,24,6,66.85,10,107,242,Handicrafts,0
33,98335,24,3,95.16,3,295,351,Food Stall,0
47,90513,12,8,68.15,8,241,282,Retail Shop,0
62,33667,36,8,95.48,0,384,177,Tailoring,0
43,37207,36,5,90.71,0,80,365,Food Stall,0
36,134319,60,8,96.31,0,393,196,Tailoring,0
56,178928,60,2,99.11,1,346,609,Handicrafts,0
35,46747,12,1,87.91,10,151,239,Artisan,1
39,36784,12,4,90.4,2,57,274,Farming,0
29,31127,36,4,92.26,3,112,493,Retail Shop,0
33,47955,24,2,90.45,2,170,218,Retail Shop,0
35,62542,24,8,91.33,0,313,396,Farming,0
61,62088,36,6,95.63,0,217,601,Farming,0
25,121683,12,6,87.82,8,164,662,Artisan,0
44,37155,48,1,99.38,3,133,444,Retail Shop,0
59,111955,60,5,91.32,0,199,460,Retail Shop,0
41,127214,48,6,95.38,0,98,268,Retail Shop,0
55,122582,12,4,97.59,1,132,640,Artisan,0
38,140114,36,8,99.78,3,87,676,Handicrafts,0
24,40534,12,6,94.0,3,79,458,Artisan,0
39,102465,24,3,97.49,3,52,263,Food Stall,0
55,62570,36,5,63.47,6,139,536,Retail Shop,0
35,73349,48,1,82.98,9,183,288,Tailoring,0
25,87255,24,1,97.66,1,68,356,Handicrafts,0
25,136413,12,4,93.52,8,164,249,Food Stall,1
38,31951,24,6,60.73,7,283,308,Farming,0
28,27928,48,4,91.64,2,314,409,Artisan,0
37,159040,60,5,92.54,3,376,596,Tailoring,0
43,74039,36,5,64.03,3,324,185,Farming,0
56,80332,24,2,62.81,7,372,433,Retail Shop,0
44,167757,24,6,99.46,2,68,770,Artisan,0
48,76383,12,1,97.02,1,140,767,Farming,0
48,170489,12,6,91.86,0,319,156,Retail Shop,0
65,104789,12,7,98.09,2,329,680,Tailoring,0
62,41215,12,2,66.92,9,223,430,Handicrafts,0
47,175354,36,6,98.88,2,131,585,Tailoring,0
36,30594,24,4,92.69,3,86,335,Handicrafts,0
49,181523,48,4,76.38,2,242,496,Farming,0
31,176549,12,8,94.75,3,277,265,Artisan,0
42,102920,24,5,95.11,3,151,583,Handicrafts,0
39,98620,48,3,91.16,2,172,415,Farming,0
28,195631,24,8,84.07,10,203,773,Tailoring,1
53,134025,12,6,97.4,0,400,488,Farming,0
62,93130,48,6,96.98,0,351,605,Farming,0
60,72524,12,8,99.36,0,288,405,Food Stall,0
23,143675,36,4,92.16,2,319,207,Tailoring,0
22,45205,48,2,95.53,3,59,264,Farming,0
23,101577,36,6,89.5,8,249,693,Artisan,0
53,190430,24,1,91.69,0,232,371,Artisan,0
57,121311,12,3,91.63,0,289,562,Tailoring,0
32,48498,24,6,97.2,0,341,640,Retail Shop,0
36,165113,48,6,93.67,1,315,736,Handicrafts,0
22,168403,36,2,99.16,0,312,670,Farming,0
38,44420,24,7,92.4,9,62,563,Retail Shop,0
64,196524,48,5,95.92,0,226,759,Food Stall,0
31,193308,12,4,91.95,2,112,377,Artisan,0
30,27626,48,5,77.42,5,224,678,Farming,0
23,141498,12,2,98.95,1,165,306,Food Stall,0
65,171454,48,6,92.21,3,133,552,Farming,0
62,192033,36,4,90.11,2,301,181,Handicrafts,0
37,28798,36,6,92.88,2,215,559,Retail Shop,0
58,145194,48,1,62.97,10,320,236,Food Stall,0
65,68628,48,3,97.72,1,55,580,Tailoring,0
34,107925,12,5,89.24,6,132,459,Food Stall,0
30,52700,24,5,80.72,7,162,252,Farming,0
57,72978,36,1,93.1,3,337,399,Farming,0
27,148073,12,7,98.15,3,70,375,Artisan,0
59,66296,48,1,93.33,1,380,203,Tailoring,0
47,66942,12,6,99.91,2,56,767,Handicrafts,0
62,116751,36,7,85.87,6,91,593,Handicrafts,0
37,186416,60,5,76.15,8,257,346,Handicrafts,1
27,98506,12,7,96.4,1,125,191,Food Stall,0
28,67875,60,8,73.48,7,199,625,Retail Shop,0
65,124680,36,2,96.74,3,100,706,Food Stall,0
60,190814,48,6,93.74,2,211,612,Tailoring,0
60,115035,36,1,97.44,3,274,565,Retail Shop,0
41,139962,60,8,99.25,3,244,730,Handicrafts,0
44,196212,36,6,91.24,2,189,416,Food Stall,0
31,134754,36,6,75.22,6,66,381,Retail Shop,0
64,74141,12,2,96.18,2,77,293,Handicrafts,0
48,93886,36,3,99.86,2,350,514,Tailoring,0
38,186468,36,8,92.05,3,63,656,Handicrafts,0
56,91232,36,3,91.74,3,303,596,Handicrafts,0
58,172244,12,3,68.48,3,294,616,Artisan,0
40,98533,60,3,73.96,7,197,590,Food Stall,0
52,83718,36,2,95.11,1,182,588,Farming,0
24,176023,48,5,90.97,2,50,431,Retail Shop,0
47,34175,36,6,95.31,0,250,217,Retail Shop,0
54,51499,36,3,94.71,3,344,468,Tailoring,0
39,123821,36,5,77.38,9,334,796,Food Stall,0
55,141781,48,5,92.78,1,249,575,Retail Shop,0
48,138454,60,6,99.29,3,133,659,Tailoring,0
62,31438,12,2,90.64,3,196,476,Retail Shop,0
63,83789,36,6,93.32,3,326,786,Retail Shop,0
39,166828,24,5,99.5,1,215,461,Farming,0
36,45787,36,7,90.05,2,319,157,Artisan,0
23,165877,36,6,95.85,1,243,305,Retail Shop,0
34,168529,36,7,93.31,0,295,437,Retail Shop,0
22,94009,36,6,92.06,3,193,500,Food Stall,0
54,190840,60,5,94.63,5,197,324,Tailoring,0
57,156757,36,4,80.9,5,253,536,Handicrafts,0
54,84772,60,8,77.18,4,301,637,Food Stall,0
37,71731,60,1,96.91,1,393,178,Tailoring,0
49,189889,36,6,99.76,0,268,703,Artisan,0
40,73052,60,4,91.63,3,284,473,Tailoring,0
35,142803,60,8,96.4,2,81,795,Handicrafts,0
63,112400,48,1,91.55,0,80,288,Handicrafts,0
48,111461,36,5,79.89,3,283,575,Farming,0
56,128247,24,7,96.4,3,372,166,Farming,0
23,73438,36,1,64.0,7,255,484,Retail Shop,0
41,63500,24,5,94.7,1,309,603,Tailoring,0
35,27396,60,4,84.38,9,197,560,Handicrafts,0
36,41153,60,1,95.73,3,205,320,Farming,0
33,161494,36,4,97.99,1,147,292,Artisan,0
63,72692,60,1,97.85,3,128,273,Farming,0
34,111313,60,1,76.77,2,257,748,Artisan,0
41,65360,12,4,92.25,2,372,403,Tailoring,1
33,107616,24,7,84.69,9,170,183,Handicrafts,0
45,105179,24,8,89.37,7,68,435,Handicrafts,0
52,34295,12,3,94.87,3,197,454,Tailoring,0
32,103950,24,1,95.04,3,89,626,Food Stall,0
59,161074,12,1,64.01,3,65,583,Food Stall,0
24,42544,36,7,92.23,2,113,618,Tailoring,0
49,170061,60,7,66.68,2,292,702,Tailoring,1
63,143085,12,5,82.36,4,385,791,Food Stall,0
53,154456,36,1,94.18,0,374,579,Handicrafts,0
43,41947,60,3,94.23,2,283,336,Food Stall,0
28,49600,12,7,92.29,2,332,694,Artisan,0
30,31212,48,3,96.13,0,91,344,Handicrafts,0
37,90695,48,2,68.54,2,388,333,Artisan,0
39,88756,36,4,90.71,1,231,292,Retail Shop,0
38,167365,48,2,92.37,7,311,623,Farming,0
34,113473,24,8,91.87,3,194,309,Tailoring,0
58,56924,36,7,94.35,3,263,751,Tailoring,0
57,48179,48,6,93.38,4,135,487,Handicrafts,0
38,112224,24,4,98.24,1,73,538,Artisan,0
40,31769,12,2,91.5,1,306,707,Handicrafts,0
24,123865,60,6,93.11,1,382,154,Handicrafts,0
44,77318,36,2,79.08,8,353,480,Food Stall,0
55,99735,24,3,97.38,1,210,408,Handicrafts,0
24,195733,36,6,62.03,9,387,295,Tailoring,0
30,38896,24,5,65.62,10,67,540,Retail Shop,0
61,137177,60,8,72.39,10,55,465,Tailoring,0
47,28043,24,8,94.66,1,177,167,Artisan,0
53,130411,48,8,80.56,7,95,340,Handicrafts,0
46,111006,24,7,94.12,3,251,307,Food Stall,0
54,48116,36,5,99.62,0,389,652,Retail Shop,0
51,170948,36,6,96.06,0,69,515,Farming,0
49,111949,60,7,99.52,0,97,639,Artisan,0
24,141173,24,7,94.49,0,156,297,Food Stall,0
57,125387,12,7,61.59,7,333,645,Farming,0
46,168955,60,2,60.84,2,166,576,Retail Shop,0
33,126327,12,1,91.46,2,217,354,Artisan,0
41,185405,60,6,94.12,1,201,670,Farming,0
57,79340,24,6,69.06,3,107,578,Food Stall,0
30,157993,36,4,90.8,4,235,205,Handicrafts,0
59,157260,24,5,99.58,2,291,573,Tailoring,0
61,74705,12,3,94.42,3,229,313,Artisan,0
32,51530,48,5,89.21,6,94,211,Tailoring,0
49,123095,36,2,90.0,3,127,402,Food Stall,0
33,136726,60,8,76.24,9,172,188,Handicrafts,0
47,124260,60,2,92.1,1,157,610,Retail Shop,0
62,83407,12,6,97.99,1,107,411,Handicrafts,0
27,39019,60,7,97.62,2,101,369,Handicrafts,0
38,41888,60,3,90.47,0,174,568,Tailoring,0
38,178614,24,5,90.95,3,241,381,Farming,0
24,177332,24,3,65.0,6,95,325,Tailoring,0
24,148173,36,8,90.9,5,258,630,Handicrafts,0
62,53628,48,4,95.61,2,226,791,Tailoring,0
27,194970,36,1,79.48,3,395,603,Farming,0
52,159138,48,8,91.76,1,305,314,Tailoring,0
58,49360,48,5,91.74,2,390,551,Retail Shop,0
41,60623,24,6,76.89,8,267,197,Handicrafts,1
49,150050,48,7,60.54,8,206,626,Food Stall,0
58,169382,48,2,92.21,3,231,719,Handicrafts,0
38,28195,36,5,91.17,1,219,647,Food Stall,0
31,60851,12,5,98.62,3,302,180,Retail Shop,0
41,124423,60,6,87.79,5,313,179,Food Stall,0
23,155983,60,3,82.41,4,398,317,Handicrafts,1
27,48086,36,4,92.57,2,364,369,Artisan,0
24,35656,12,3,99.32,1,51,480,Tailoring,0
37,168339,48,6,95.0,0,235,653,Tailoring,0
58,103421,12,1,94.97,2,253,755,Food Stall,0
42,166216,48,6,93.89,3,200,560,Food Stall,0
42,131790,60,2,93.98,3,241,465,Artisan,0
57,180640,12,3,94.88,4,50,282,Artisan,0
56,184030,36,5,94.89,3,384,662,Handicrafts,0
44,62522,12,8,72.88,4,85,471,Tailoring,0
48,39311,12,1,92.32,3,345,734,Artisan,0
44,65157,48,8,90.21,1,329,294,Artisan,0
46,109727,24,1,68.3,5,285,539,Retail Shop,0
25,180644,24,2,93.89,0,169,510,Handicrafts,0
34,150895,24,7,64.08,8,197,438,Artisan,0
63,161755,48,1,90.95,2,291,326,Tailoring,0
48,170133,36,8,60.21,2,162,700,Farming,0
60,90637,60,8,79.95,9,344,284,Food Stall,0
43,77534,48,6,94.01,1,349,163,Handicrafts,0
54,158371,48,6,93.16,2,361,472,Retail Shop,0
28,124783,60,3,64.04,2,356,284,Food Stall,0
42,174811,60,4,75.25,10,314,348,Farming,0
31,75423,48,8,91.18,2,167,291,Handicrafts,0
51,134914,60,5,79.64,9,233,208,Retail Shop,0
50,122645,36,5,90.23,1,334,527,Retail Shop,0
53,184523,24,4,81.46,6,227,787,Tailoring,0
44,145154,36,4,94.79,0,187,328,Handicrafts,0
46,63472,36,2,94.77,0,256,734,Artisan,0
56,151394,36,6,92.69,0,99,638,Food Stall,0
29,77209,36,2,91.84,3,179,602,Tailoring,0
40,70510,36,8,90.66,2,144,684,Handicrafts,0
27,55208,12,7,93.3,2,85,745,Handicrafts,0
35,106926,12,3,91.96,0,288,173,Tailoring,0
30,173250,36,2,74.49,3,353,667,Tailoring,0
27,84871,24,5,73.96,3,236,300,Farming,0
29,127893,48,1,96.48,0,220,282,Farming,0
26,124808,48,8,99.18,0,120,327,Handicrafts,0
49,94799,60,1,98.44,1,324,800,Tailoring,0
49,31882,60,8,81.3,8,139,717,Farming,1
47,126885,48,3,69.09,9,144,187,Farming,0
43,198624,36,3,97.4,3,377,795,Farming,0
30,83049,12,2,93.28,2,221,327,Retail Shop,0
27,79379,12,5,94.53,2,280,689,Farming,0
36,75230,12,5,85.36,7,310,234,Farming,0
52,93012,24,1,96.1,2,333,767,Artisan,0
57,62327,24,7,97.46,1,243,735,Farming,0
46,120158,24,7,93.65,3,242,691,Retail Shop,0
47,70653,48,7,92.5,0,312,637,Handicrafts,0
44,47646,48,2,73.47,4,330,154,Retail Shop,0
59,164601,24,3,94.78,1,318,694,Farming,0
27,189024,36,3,96.69,2,56,172,Retail Shop,0
51,63654,12,6,69.17,9,269,295,Food Stall,0
23,83511,48,1,96.71,2,395,336,Retail Shop,0
36,163933,24,5,63.79,9,347,796,Food Stall,0
60,104656,24,3,94.04,1,162,385,Food Stall,0
33,85721,12,2,91.9,3,134,634,Retail Shop,0
45,167193,48,4,96.66,1,366,761,Food Stall,0
23,93864,24,6,95.33,3,179,208,Tailoring,0
57,87529,12,7,92.9,5,71,169,Retail Shop,0
38,79699,60,8,67.88,9,279,433,Tailoring,0
61,31854,24,6,92.88,0,236,389,Farming,0
60,32853,12,2,90.13,1,244,235,Handicrafts,0
53,175920,48,4,95.66,3,223,217,Artisan,0
49,148033,36,8,79.11,10,396,486,Food Stall,0
31,164575,36,1,64.03,4,136,668,Tailoring,0
36,90591,60,2,99.8,1,197,175,Artisan,0
56,134478,60,5,90.89,2,298,500,Artisan,0
43,63950,36,4,95.97,2,198,186,Tailoring,0
24,113620,24,2,97.23,1,173,236,Tailoring,0
41,152453,60,4,93.92,1,376,310,Artisan,0
22,71787,24,4,63.91,7,88,556,Artisan,0
45,192477,36,6,97.86,1,172,536,Artisan,0
30,71232,36,2,81.17,4,207,163,Farming,0
58,59542,24,1,94.37,3,104,644,Handicrafts,0
63,100372,36,7,91.58,0,137,484,Handicrafts,0
30,172074,48,2,95.9,2,131,571,Retail Shop,0
37,44541,24,6,70.85,6,337,595,Artisan,0
62,195651,12,8,90.62,0,374,686,Retail Shop,0
43,77621,48,2,94.29,0,318,600,Tailoring,0
53,62194,60,3,96.09,2,283,469,Food Stall,0
48,189701,36,7,98.62,1,218,327,Food Stall,0
63,26768,12,5,69.58,8,87,741,Farming,0
24,115991,24,1,95.49,0,336,672,Tailoring,0
40,61484,24,7,94.27,3,326,423,Tailoring,0
25,49043,12,6,91.98,3,366,248,Tailoring,0
23,116600,36,1,67.37,6,287,177,Artisan,0
44,117535,12,3,99.08,1,243,678,Artisan,0
40,111576,12,6,76.62,6,199,648,Food Stall,0
22,197718,24,7,90.94,1,354,440,Farming,0
54,88097,48,6,90.09,0,243,742,Artisan,0
65,143846,12,5,99.78,0,54,738,Farming,1
32,82301,48,7,70.54,9,312,173,Food Stall,0
25,160154,24,1,83.95,5,62,779,Tailoring,0
54,172308,24,5,61.46,10,272,513,Food Stall,0
29,164849,48,5,88.94,5,376,172,Tailoring,0
29,157785,36,5,99.74,2,296,725,Tailoring,0
29,156599,36,6,71.21,6,236,413,Food Stall,0
41,29238,24,3,90.61,7,362,708,Tailoring,0
56,151701,24,1,93.17,0,294,477,Handicrafts,0
57,154906,48,8,90.97,0,237,215,Tailoring,0
58,81351,60,6,67.97,6,299,355,Tailoring,0
54,172389,36,1,94.99,3,278,297,Retail Shop,0
55,118856,12,1,93.83,0,138,524,Retail Shop,0
58,58659,60,4,93.74,1,365,313,Food Stall,0
31,45113,36,7,98.22,2,357,723,Retail Shop,0
63,105216,12,5,89.12,6,336,349,Handicrafts,0
22,42095,60,3,96.05,2,136,657,Tailoring,0
26,70297,48,7,96.15,1,242,706,Retail Shop,0
33,72286,12,3,98.81,2,294,430,Retail Shop,0
47,25851,48,1,97.1,2,290,779,Farming,0
37,107452,48,1,84.91,3,193,445,Farming,0
40,42653,48,8,92.63,2,206,357,Farming,0
64,194757,60,8,98.05,0,140,763,Food Stall,0
45,174946,12,6,77.06,7,198,187,Retail Shop,0
63,77812,12,2,91.09,2,263,686,Retail Shop,0
60,87892,36,7,76.3,4,93,320,Farming,1
55,80431,24,6,83.86,4,175,419,Farming,0
28,167964,24,5,91.52,1,353,696,Food Stall,0
43,99033,24,1,90.2,3,97,517,Artisan,0
62,134535,60,3,90.2,3,96,673,Artisan,0
23,57384,48,7,91.49,0,300,729,Retail Shop,1
46,29487,48,7,93.65,3,238,650,Tailoring,0
58,52440,48,3,94.21,1,172,264,Tailoring,0
47,43411,48,2,99.14,3,103,642,Artisan,0
58,73768,48,5,97.48,2,56,780,Artisan,1
65,137696,48,3,73.49,3,374,170,Farming,0
51,84452,60,3,82.58,7,345,599,Tailoring,0
23,25918,48,7,91.64,2,100,650,Farming,0
48,186257,36,3,87.41,10,252,440,Food Stall,0
36,137510,12,3,73.9,6,178,745,Artisan,0
56,61327,36,4,99.89,2,174,737,Tailoring,0
52,176589,48,7,76.73,3,145,382,Tailoring,0
51,71699,48,5,96.41,1,126,190,Artisan,0
47,97624,48,1,93.97,0,64,773,Artisan,0
53,63092,48,3,95.2,0,240,457,Farming,0
27,158172,36,5,89.47,3,330,504,Handicrafts,0
64,34644,36,1,95.52,1,223,336,Farming,1
40,93055,36,8,95.63,1,165,754,Handicrafts,0
44,180882,12,5,97.41,0,201,260,Retail Shop,0
56,48500,12,4,91.42,1,136,727,Farming,0
35,119438,12,6,91.21,8,291,771,Farming,1
59,76821,24,3,99.63,1,232,373,Artisan,0
54,182097,48,5,98.03,2,241,560,Farming,0
44,190216,12,5,83.69,5,341,488,Tailoring,0
42,178748,48,2,95.62,1,359,721,Farming,0
22,94459,48,2,92.8,1,169,310,Farming,0
64,161395,60,8,98.67,2,392,347,Tailoring,0
59,160849,36,5,97.27,3,311,687,Tailoring,0
52,139627,48,2,61.01,6,256,675,Artisan,1
23,155101,36,7,95.64,1,377,796,Farming,0
23,117117,48,3,94.45,0,232,308,Handicrafts,0
23,55009,24,6,93.11,2,119,210,Handicrafts,0
65,163400,24,5,93.93,0,214,262,Tailoring,0
47,127328,36,1,83.43,10,163,299,Food Stall,0
23,175555,60,3,74.44,2,186,580,Handicrafts,0
52,89455,60,5,98.2,1,50,734,Farming,0
37,128115,60,8,92.32,1,104,180,Farming,0
45,143241,24,5,93.87,8,287,567,Food Stall,0
30,39063,48,7,96.18,3,344,602,Food Stall,0
37,128793,48,4,93.55,10,313,475,Handicrafts,0
45,71467,12,2,76.77,6,375,523,Artisan,0
23,131123,48,7,97.12,0,331,220,Handicrafts,0
65,122205,36,6,75.68,6,258,267,Retail Shop,0
51,180363,60,8,94.47,1,75,636,Handicrafts,0
58,28018,36,8,88.06,4,288,181,Food Stall,0
61,57168,60,5,98.66,1,297,791,Retail Shop,0
61,132632,36,7,94.12,1,270,625,Handicrafts,0
43,90897,24,1,64.17,7,235,421,Food Stall,0
50,185313,24,8,96.13,2,207,752,Food Stall,0
41,174889,48,1,99.14,0,246,519,Tailoring,0
63,105188,48,6,98.74,1,131,364,Retail Shop,0
54,78720,48,8,91.93,1,270,749,Food Stall,0
63,27910,36,4,99.45,0,168,315,Farming,0
56,148070,36,4,91.27,3,271,328,Farming,0
50,149030,12,6,93.32,1,230,452,Retail Shop,0
65,157032,60,7,81.3,8,250,384,Food Stall,0
48,146682,60,4,98.18,2,243,175,Farming,0
42,36506,24,1,74.71,7,301,626,Handicrafts,0
29,80127,60,4,78.79,8,144,163,Retail Shop,0
23,121390,36,6,98.61,3,264,313,Handicrafts,0
36,51800,60,3,90.38,0,122,226,Food Stall,0
40,115862,60,5,94.11,3,80,742,Artisan,0
65,63882,24,6,90.21,0,88,619,Tailoring,0
33,92033,24,6,90.06,0,271,619,Handicrafts,0
50,36269,36,6,99.04,2,339,258,Artisan,0
61,78705,24,7,78.31,6,94,651,Retail Shop,0
63,182933,48,7,89.52,8,289,577,Handicrafts,0
44,174260,24,4,87.4,6,284,618,Farming,0
26,194157,60,4,98.97,2,95,322,Food Stall,0
56,107726,48,4,93.9,1,86,646,Tailoring,0
36,81110,48,5,90.71,3,110,590,Handicrafts,0
62,173230,48,2,98.66,3,346,686,Tailoring,0
54,67113,24,1,79.68,9,305,645,Food Stall,0
42,190444,48,3,92.97,2,385,265,Handicrafts,0
56,114310,12,7,99.24,1,204,633,Tailoring,0
48,103409,48,7,97.22,2,191,568,Artisan,0
59,62467,48,1,99.96,0,217,358,Food Stall,0
57,154329,36,3,92.66,3,384,745,Handicrafts,0
26,96167,36,2,75.97,9,231,628,Handicrafts,0
54,39404,48,7,79.13,8,134,187,Farming,1
27,167239,48,1,91.22,2,330,413,Farming,0
58,142608,12,6,77.66,3,345,699,Handicrafts,0
44,45007,12,6,72.0,5,149,752,Retail Shop,0
44,36147,12,5,97.16,2,378,582,Tailoring,0
61,152856,12,6,96.85,3,120,150,Food Stall,0
31,188924,36,4,96.6,0,112,725,Artisan,0
55,135735,48,7,94.44,0,234,244,Food Stall,0
50,195250,36,3,93.52,0,213,430,Artisan,0
22,113112,24,8,69.29,9,204,293,Artisan,0
58,192078,60,7,93.27,1,354,499,Handicrafts,0
44,31976,36,2,90.46,0,332,594,Food Stall,0
56,66257,48,7,94.01,0,213,638,Food Stall,0
27,92415,24,4,68.12,8,332,298,Tailoring,0
35,170097,12,2,97.55,2,91,198,Retail Shop,0
58,57789,36,4,97.31,1,308,265,Handicrafts,0
44,169191,12,2,96.2,1,294,741,Tailoring,0
27,116960,12,4,62.66,7,109,454,Food Stall,0
42,181831,12,6,90.23,1,178,253,Tailoring,0
56,151758,48,5,82.28,8,171,755,Handicrafts,0
34,41179,60,1,93.65,2,391,186,Retail Shop,0
49,126351,60,8,99.12,1,184,568,Retail Shop,0
30,156755,36,4,98.77,0,177,372,Retail Shop,0
61,158917,48,6,90.11,2,216,379,Food Stall,0
46,97034,24,6,61.01,5,369,787,Food Stall,0
30,137779,48,4,89.21,5,360,446,Retail Shop,0
44,43013,60,4,98.54,1,212,262,Farming,0
27,187592,24,8,91.61,1,134,261,Handicrafts,0
28,66823,48,5,99.73,0,52,319,Handicrafts,0
56,89344,60,2,94.66,7,249,340,Artisan,0
65,178146,60,7,80.38,10,150,209,Retail Shop,0
33,115112,24,8,96.37,1,143,543,Food Stall,0
62,120479,48,3,98.51,0,223,293,Artisan,0
46,148114,60,6,68.95,6,154,505,Food Stall,0
53,159939,12,2,84.73,3,289,696,Retail Shop,0
36,32204,36,8,90.62,2,243,609,Tailoring,0
23,189236,60,8,61.2,3,389,417,Food Stall,0
30,33806,48,7,90.32,0,322,157,Farming,0
54,119695,12,3,91.57,1,329,424,Food Stall,0
41,96673,36,1,88.92,4,253,188,Artisan,0
57,166870,12,7,93.57,2,333,375,Artisan,0
56,93886,60,2,94.69,1,353,626,Farming,0
24,51724,48,3,98.43,1,390,728,Artisan,0
41,81160,60,7,97.61,2,367,366,Food Stall,0
57,141047,24,7,95.04,3,394,637,Artisan,0
60,166378,12,8,90.95,2,251,579,Food Stall,0
62,137193,36,3,98.85,1,365,343,Farming,0
42,65950,36,4,96.64,3,353,751,Tailoring,0
39,69490,48,4,93.07,0,141,688,Retail Shop,0
47,110097,24,1,94.96,1,134,787,Artisan,0
34,146603,24,5,90.78,3,369,634,Retail Shop,0
56,25014,12,1,92.52,0,280,652,Artisan,0
53,157652,60,3,92.1,3,154,624,Retail Shop,0
64,92098,60,3,79.79,9,83,705,Food Stall,1
39,180503,24,8,61.72,9,108,792,Retail Shop,0
22,31783,48,5,60.81,7,358,262,Food Stall,0
29,32187,12,4,99.18,1,171,394,Retail Shop,0
63,75005,24,3,97.89,2,304,281,Handicrafts,1
65,72009,12,4,99.61,2,367,181,Artisan,0
65,161705,36,8,78.96,7,73,176,Handicrafts,0
56,166810,12,4,99.35,0,132,329,Farming,0
22,73332,12,4,91.07,3,175,410,Handicrafts,0
64,44068,48,7,93.11,3,199,428,Tailoring,0
32,168796,24,3,91.91,1,375,642,Artisan,0
29,108946,36,4,92.98,1,365,648,Farming,0
27,104084,24,1,77.93,2,88,450,Farming,0
25,46651,24,8,95.6,0,116,417,Farming,0
36,49061,48,3,96.05,1,98,543,Tailoring,0
64,131465,12,6,88.17,4,114,515,Farming,0
60,140390,60,6,93.3,2,250,548,Food Stall,0
52,69564,36,1,85.76,9,75,723,Tailoring,0
50,61896,60,5,90.8,3,288,417,Handicrafts,0
30,193998,36,8,93.11,0,385,308,Food Stall,0
44,106990,36,8,62.21,2,343,344,Retail Shop,0
57,28321,60,8,90.2,0,340,153,Tailoring,0
49,69263,60,1,91.59,2,352,453,Handicrafts,0
40,143867,60,4,99.79,1,269,625,Retail Shop,0
55,116726,24,8,94.19,3,170,277,Handicrafts,0
61,157885,48,1,82.74,2,358,468,Retail Shop,0
59,55815,12,6,93.71,3,218,184,Food Stall,0
39,60073,36,1,97.32,2,204,636,Handicrafts,0
48,106058,60,5,86.22,8,326,563,Food Stall,0
29,71268,60,2,90.41,1,185,687,Handicrafts,0
52,28209,60,3,61.09,10,356,179,Food Stall,0
36,158580,24,8,70.7,2,397,577,Handicrafts,0
48,29316,24,1,61.22,10,253,702,Handicrafts,0
27,178180,12,2,61.12,7,207,675,Artisan,0
49,103891,48,2,65.75,5,165,298,Retail Shop,1
64,33169,24,5,97.89,0,242,674,Farming,0
52,118445,48,2,90.7,3,382,478,Tailoring,0
28,161509,12,5,95.46,2,218,613,Food Stall,0
42,169201,12,4,92.42,1,397,696,Retail Shop,0
49,199932,36,3,63.28,6,315,343,Tailoring,0
49,109779,60,1,89.3,9,241,758,Artisan,0
42,156223,60,2,81.53,9,186,767,Retail Shop,0
33,110511,36,8,93.88,3,309,199,Retail Shop,0
63,104158,48,8,90.38,1,298,772,Artisan,0
56,100053,36,1,90.96,1,159,696,Food Stall,0
63,155383,36,3,69.67,7,301,184,Handicrafts,1
26,25068,36,7,63.8,9,305,344,Food Stall,1
32,173788,48,3,90.79,10,303,378,Farming,0
60,47895,48,8,92.57,2,314,674,Handicrafts,0
31,31701,60,3,98.85,0,54,558,Farming,0
65,163910,60,2,97.13,2,371,384,Handicrafts,0
55,148820,24,5,95.78,1,275,779,Tailoring,0
55,181934,12,5,94.76,1,368,210,Food Stall,0
22,127300,48,5,97.97,1,353,761,Artisan,0
43,32433,60,7,90.17,1,152,475,Handicrafts,0
32,31654,12,4,95.98,2,83,749,Food Stall,0
44,155780,12,8,78.49,9,254,399,Food Stall,0
63,192795,48,1,71.05,7,375,560,Farming,0
51,73926,24,4,60.7,3,158,608,Food Stall,0
59,33824,36,6,98.24,0,252,430,Handicrafts,0
41,188291,36,5,88.72,9,70,298,Tailoring,0
22,129696,48,5,94.28,3,315,221,Artisan,0
53,37166,12,8,99.89,1,147,433,Tailoring,0
45,104394,12,6,90.16,5,391,458,Artisan,0
51,186605,24,2,90.08,3,315,181,Farming,0
25,66352,36,2,70.1,2,364,571,Tailoring,0
63,114497,24,8,93.8,3,235,341,Tailoring,0
22,77978,60,6,90.69,2,276,796,Retail Shop,0
49,167555,36,8,97.91,0,140,389,Handicrafts,0
50,91511,48,1,98.35,0,175,224,Artisan,0
22,93980,36,8,87.2,6,144,448,Food Stall,0
61,123078,48,6,93.64,0,364,546,Tailoring,0
